dataset,display_name,model_family,model,selected_by_validation,selection_metric,selection_value,test_mae,test_rmse,test_r2,train_windows,validation_windows,test_windows,train_trips,validation_trips,test_trips,trip_mean_mae,bootstrap_ci_low,bootstrap_ci_high,test_set_used_for_selection
ev,BMW i3,non_recurrent_baseline,training_mean,false,validation_mae,0.09461206764706531,0.09768808987852125,0.14331540837349294,-0.0005202887034114756,691930,216951,185212,44,12,14,0.10047711485198565,0.09196308707552296,0.10990412232599088,false
ev,BMW i3,non_recurrent_baseline,ridge,false,validation_mae,0.0718637932527767,0.07263726563491701,0.10748435845320035,0.4372303527284598,691930,216951,185212,44,12,14,0.07521898805030755,0.06685786289162934,0.08450974395631679,false
ev,BMW i3,non_recurrent_baseline,hist_gb,false,validation_mae,0.021400454871571068,0.018177078934444754,0.035018647677171486,0.9402636242154334,691930,216951,185212,44,12,14,0.018674347565592043,0.01586889674730914,0.021424163358138036,false
ev,BMW i3,non_recurrent_baseline,random_forest,false,validation_mae,0.02080718610125787,0.01743686868169022,0.034952413423845856,0.9404893812196835,691930,216951,185212,44,12,14,0.01790822033284108,0.015034550237239208,0.020746016876039643,false
ev,BMW i3,non_recurrent_baseline,mlp,true,validation_mae,0.020659137525577524,0.017710154455778202,0.03316891673054353,0.9464076618799677,691930,216951,185212,44,12,14,0.01842034508341125,0.015714194090105594,0.021044703742622264,false
qx50,Infiniti QX50,non_recurrent_baseline,training_mean,false,validation_mae,1.427094061526686,1.3112795644251942,1.5630508925243303,-0.22061542611231388,227341,74676,74790,21,6,7,1.4501925536564417,1.1626953056880407,1.8178564650671822,false
qx50,Infiniti QX50,non_recurrent_baseline,ridge,false,validation_mae,0.3643483281453283,0.2666311045721175,0.3870071658651261,0.9251708813939156,227341,74676,74790,21,6,7,0.30245895258017946,0.23677246272563934,0.36720821261405945,false
qx50,Infiniti QX50,non_recurrent_baseline,hist_gb,false,validation_mae,0.12639428089940047,0.14144617447369243,0.2352711729214683,0.9723452299292944,227341,74676,74790,21,6,7,0.17612044573160832,0.1220129127547239,0.2378163769309665,false
qx50,Infiniti QX50,non_recurrent_baseline,random_forest,true,validation_mae,0.1139830570167558,0.12850531803911158,0.22372521923505742,0.9749929477573784,227341,74676,74790,21,6,7,0.16404493162413575,0.10912272701369279,0.23179637947677184,false
qx50,Infiniti QX50,non_recurrent_baseline,mlp,false,validation_mae,0.12722143154527768,0.14925553043688786,0.25100868883383015,0.9685217828493393,227341,74676,74790,21,6,7,0.17740638766969954,0.13063365519046782,0.23203347623348236,false
ev,BMW i3,lstm,MultipleLayerLSTM,true,validation_mse,0.0011289948008066056,0.016999224481029983,0.030245075731819587,0.9554395588945692,691930,216951,185212,44,12,14,0.017579486859696253,0.015274022143733287,0.01991792278464085,false
qx50,Infiniti QX50,lstm,MultipleLayerLSTM,true,validation_mse,0.053031886070591575,0.15130748764791657,0.25643458527995644,0.9671461845880379,227341,74676,74790,21,6,7,0.1798102025474821,0.12853905095585755,0.23427490469600468,false
