trip_id,n_feature_windows,n_proxy_aligned_windows,ev_direct_co2_mae_gps,ev_proxy_co2_mae_gps,proxy_minus_direct_gps,torque_mae_nm,throttle_mae_pct
TripA07,20923,20913,0.009465358809461765,0.02701057109705907,0.017545212287597305,3.5400325182567838,3.0458227604757226
TripA10,14166,14156,0.009739324527140299,0.016650935005152072,0.006911610478011773,3.574916300287266,2.6153599314659006
TripA11,14235,14225,0.018011554931703342,0.024945844651252526,0.006934289719549184,5.297033596458081,11.431075274906956
TripA17,6677,6667,0.016202244623949157,0.0339175152407603,0.017715270616811146,3.7433923955685513,3.085263185989576
TripA21,19819,19809,0.016159023175208544,0.020530832279294794,0.004371809104086251,4.036323508224452,2.807395300628668
TripA24,5312,5302,0.016568597719918456,0.03620904495670192,0.019640447236783466,3.422475046636839,3.37993674607608
TripA25,7617,7607,0.014550422083795738,0.028541435739322336,0.013991013655526598,4.781518194008239,2.9164580035074112
TripA30,13964,13954,0.017580420937254843,0.020150134752002984,0.0025697138147481417,4.189428551917732,2.9540255364597128
TripB01,32508,32498,0.018376173023014343,0.027832420972012547,0.009456247948998204,4.074513034838592,7.509402178953978
TripB21,10387,10377,0.021339181919242268,0.029346163997779492,0.008006982078537225,3.827036064064823,2.5980569463867855
TripB24,9770,9760,0.022655078695290966,0.028603682685676767,0.005948603990385801,3.9934246909618984,2.40055569722611
TripB29,9676,9666,0.021217705319567303,0.033740529217989215,0.012522823898421912,3.7240283820838194,3.0109813181919813
TripB30,9199,9189,0.02669227019243513,0.030862118527763948,0.004169848335328817,4.712564838917013,2.639918390489788
TripB31,10959,10949,0.01681611707514435,0.02408726820346478,0.007271151128320431,3.788598315596624,2.497632858337456
